Year Response Horror MorphForm Distance Helpee Verb Helper Year_new Distance_log
1997 Bare No help 1 No burn Inanim 7 0
1997 TO No help 1 No clarify Inanim 7 0
1997 TO No help 1 No remove Inanim 7 0
1997 Bare No help 1 No propel Inanim 7 0
1997 Bare No help 1 No prevent Inanim 7 0
1997 Bare No help 1 No support Inanim 7 0
1997 Bare No help 1 No mute Inanim 7 0
1997 Bare Yes help 1 No peel Inanim 7 0
1997 Bare Yes help 1 No prevent Inanim 7 0
1997 Bare Yes help 1 No draw Missing 7 0
1997 Bare Yes help 1 No run Anim 7 0
1997 Bare Yes help 1 No ward Missing 7 0
1997 Bare Yes help 1 No fill Missing 7 0
1997 Bare Yes help 1 No finance Missing 7 0
1997 Bare Yes help 1 No restore Missing 7 0
1996 Bare No help 1 No eliminate Anim 6 0
1996 Bare No help 1 No shore Anim 6 0
1996 Bare No help 1 No eliminate Anim 6 0
1996 TO No help 1 No spread Anim 6 0
1996 TO No help 1 No protect Anim 6 0
1996 Bare No help 1 No save Anim 6 0
1996 TO No help 1 No shape Anim 6 0
1996 Bare Yes help 1 No cover Anim 6 0
1996 Bare Yes help 1 No rebuild Anim 6 0
1996 Bare Yes help 1 No raise Anim 6 0
1996 Bare Yes help 1 No solve Anim 6 0
1996 Bare Yes help 1 No lead Anim 6 0
1996 Bare Yes help 1 No pay Anim 6 0
1996 Bare No help 1 No show Inanim 6 0
1996 Bare No help 1 No prevent Inanim 6 0
1996 Bare No help 1 No detect Inanim 6 0
1996 Bare No help 1 No exercise Inanim 6 0
1996 Bare No help 1 No prop Inanim 6 0
1996 Bare No help 1 No define Inanim 6 0
1996 TO No help 1 No improve Inanim 6 0
1996 TO No help 1 No energize Inanim 6 0
1996 TO No help 1 No create Inanim 6 0
1996 TO No help 1 No prevent Inanim 6 0
1996 TO No help 1 No close Inanim 6 0
1996 TO No help 1 No reinvent Inanim 6 0
1996 Bare No help 1 No prevent Inanim 6 0
1996 Bare No help 1 No ward Inanim 6 0
1996 Bare No help 1 No stop Inanim 6 0
1996 Bare No help 1 No draw Inanim 6 0
1996 Bare No help 1 No create Inanim 6 0
1996 Bare No help 1 No maintain Inanim 6 0
1996 Bare No help 1 No protect Inanim 6 0
1996 Bare No help 1 No ease Inanim 6 0
1996 Bare No help 1 No detoxify Inanim 6 0
1996 TO No help 1 No control Inanim 6 0
1996 Bare Yes help 1 No inspire Missing 6 0
1996 Bare Yes help 1 No fight Missing 6 0
1996 Bare Yes help 1 No transform Missing 6 0
1996 Bare Yes help 1 No promote Missing 6 0
1996 Bare Yes help 1 No replace Missing 6 0
1995 Bare No help 1 No set Anim 5 0
1995 Bare No help 1 No load Anim 5 0
1995 Bare No help 1 No re-establish Anim 5 0
1995 Bare No help 1 No cook Anim 5 0
1995 Bare Yes help 1 No make Anim 5 0
1995 Bare Yes help 1 No promote Anim 5 0
1995 Bare Yes help 1 No rebuild Anim 5 0
1995 Bare Yes help 1 No cultivate Anim 5 0
1995 Bare No help 1 No keep Inanim 5 0
1995 Bare No help 1 No explain Inanim 5 0
1995 Bare No help 1 No explain Inanim 5 0
1995 Bare No help 1 No safeguard Inanim 5 0
1995 Bare No help 1 No keep Inanim 5 0
1995 Bare No help 1 No retain Inanim 5 0
1995 Bare No help 1 No ease Inanim 5 0
1995 TO No help 1 No reveal Inanim 5 0
1995 Bare No help 1 No prevent Inanim 5 0
1995 Bare No help 1 No restart Inanim 5 0
1995 Bare No help 1 No explain Inanim 5 0
1995 Bare No help 1 No do Inanim 5 0
1995 Bare No help 1 No alleviate Inanim 5 0
1995 Bare No help 1 No improve Inanim 5 0
1995 Bare No help 1 No prepare Inanim 5 0
1995 TO No help 1 No prepare Inanim 5 0
1995 Bare Yes help 1 No keep Anim 5 0
1995 Bare Yes help 1 No enforce Anim 5 0
1995 Bare Yes help 1 No ensure Missing 5 0
1995 Bare Yes help 1 No differentiate Missing 5 0
1995 Bare Yes help 1 No defray Missing 5 0
1995 Bare Yes help 1 No determine Missing 5 0
1995 Bare Yes help 1 No lift Missing 5 0
1995 Bare Yes help 1 No dismantle Missing 5 0
1995 Bare Yes help 1 No strengthen Missing 5 0
1995 Bare Yes help 1 No maintain Missing 5 0
1994 Bare No help 1 No plan Anim 4 0
1994 Bare No help 1 No create Anim 4 0
1994 Bare No help 1 No get Anim 4 0
1994 Bare Yes help 1 No locate Anim 4 0
1994 Bare Yes help 1 No rebuild Anim 4 0
1994 Bare Yes help 1 No build Anim 4 0
1994 Bare No help 1 No protect Inanim 4 0
1994 Bare No help 1 No explain Inanim 4 0
1994 Bare No help 1 No chill Inanim 4 0
1994 Bare No help 1 No clear Inanim 4 0
1994 Bare No help 1 No conserve Inanim 4 0
1994 Bare No help 1 No seduce Inanim 4 0
1994 Bare No help 1 No reveal Inanim 4 0
1994 Bare No help 1 No create Inanim 4 0
1994 Bare No help 1 No generate Inanim 4 0
1994 Bare No help 1 No ensure Inanim 4 0
1994 Bare No help 1 No maintain Inanim 4 0
1994 TO No help 1 No prevent Inanim 4 0
1994 TO No help 1 No control Inanim 4 0
1994 TO No help 1 No intensify Inanim 4 0
1994 Bare No help 1 No fix Inanim 4 0
1994 Bare No help 1 No prevent Inanim 4 0
1994 Bare No help 1 No lighten Inanim 4 0
1994 Bare No help 1 No sell Inanim 4 0
1994 Bare Yes help 1 No induce Inanim 4 0
1994 Bare Yes help 1 No decrease Inanim 4 0
1994 Bare Yes help 1 No stop Anim 4 0
1994 Bare Yes help 1 No maintain Missing 4 0
1994 Bare Yes help 1 No meet Missing 4 0
1994 Bare Yes help 1 No equalize Missing 4 0
1994 Bare Yes help 1 No stabilize Missing 4 0
1993 Bare No help 1 No ensure Anim 3 0
1993 Bare No help 1 No create Anim 3 0
1993 Bare No help 1 No keep Anim 3 0
1993 Bare Yes help 1 No support Anim 3 0
1993 Bare Yes help 1 No pass Anim 3 0
1993 Bare Yes help 1 No liberate Anim 3 0
1993 Bare Yes help 1 No promote Anim 3 0
1993 Bare Yes help 1 No build Anim 3 0
1993 Bare No help 1 No pin Inanim 3 0
1993 Bare No help 1 No prevent Inanim 3 0
1993 Bare No help 1 No retard Inanim 3 0
1993 Bare No help 1 No justify Inanim 3 0
1993 Bare No help 1 No offset Inanim 3 0
1993 Bare No help 1 No drive Inanim 3 0
1993 Bare No help 1 No restore Inanim 3 0
1993 Bare No help 1 No cut Inanim 3 0
1993 Bare No help 1 No create Inanim 3 0
1993 Bare No help 1 No keep Inanim 3 0
1993 Bare No help 1 No remove Inanim 3 0
1993 Bare No help 1 No camouflage Inanim 3 0
1993 TO No help 1 No illuminate Inanim 3 0
1993 TO No help 1 No protect Inanim 3 0
1993 Bare No help 1 No double Inanim 3 0
1993 Bare No help 1 No run Inanim 3 0
1993 Bare No help 1 No halt Inanim 3 0
1993 Bare No help 1 No improve Inanim 3 0
1993 TO No help 1 No toughen Inanim 3 0
1993 TO No help 1 No ensure Inanim 3 0
1993 Bare Yes help 1 No define Inanim 3 0
1993 Bare Yes help 1 No resolve Inanim 3 0
1993 Bare Yes help 1 No promote Anim 3 0
1993 Bare Yes help 1 No teach Missing 3 0
1993 Bare Yes help 1 No manage Missing 3 0
1993 Bare Yes help 1 No finance Missing 3 0
1993 Bare Yes help 1 No identify Missing 3 0
1993 Bare Yes help 1 No finance Missing 3 0
1993 Bare Yes help 1 No preserve Missing 3 0
1993 Bare Yes help 1 No develop Missing 3 0
1992 Bare No help 1 No address Anim 2 0
1992 Bare No help 1 No finance Anim 2 0
1992 Bare No help 1 No boost Anim 2 0
1992 TO No help 1 No create Anim 2 0
1992 Bare No help 1 No build Anim 2 0
1992 Bare No help 1 No control Anim 2 0
1992 TO No help 1 No make Anim 2 0
1992 TO No help 1 No maintain Anim 2 0
1992 Bare Yes help 1 No arrange Anim 2 0
1992 Bare No help 1 No explain Inanim 2 0
1992 Bare No help 1 No promote Inanim 2 0
1992 TO No help 1 No casten Inanim 2 0
1992 TO No help 1 No attract Inanim 2 0
1992 Bare No help 1 No build Inanim 2 0
1992 Bare No help 1 No clear Inanim 2 0
1992 Bare No help 1 No prevent Inanim 2 0
1992 Bare Yes help 1 No cure Inanim 2 0
1992 Bare Yes help 1 No build Anim 2 0
1992 Bare Yes help 1 No kill Missing 2 0
1992 Bare Yes help 1 No achieve Missing 2 0
1992 Bare Yes help 1 No cover Missing 2 0
1992 Bare Yes help 1 No pay Missing 2 0
1992 TO No help 1 No relegitimize Missing 2 0
1992 Bare Yes help 1 No pay Missing 2 0
1992 Bare Yes help 1 No recover Missing 2 0
1992 Bare Yes help 1 No overhaul Missing 2 0
1992 Bare Yes help 1 No rebuild Missing 2 0
1992 Bare Yes help 1 No underwrite Missing 2 0
1991 Bare No help 1 No control Anim 1 0
1991 Bare Yes help 1 No preserve Anim 1 0
1991 Bare Yes help 1 No form Anim 1 0
1991 Bare Yes help 1 No defend Anim 1 0
1991 Bare Yes help 1 No accommodate Anim 1 0
1991 Bare Yes help 1 No build Anim 1 0
1991 Bare No help 1 No keep Inanim 1 0
1991 Bare No help 1 No keep Inanim 1 0
1991 Bare No help 1 No reduce Inanim 1 0
1991 Bare No help 1 No break Inanim 1 0
1991 Bare No help 1 No diagnose Inanim 1 0
1991 Bare No help 1 No prevent Inanim 1 0
1991 Bare No help 1 No dry Inanim 1 0
1991 Bare No help 1 No power Inanim 1 0
1991 Bare No help 1 No replace Inanim 1 0
1991 Bare No help 1 No support Inanim 1 0
1991 TO No help 1 No prevent Inanim 1 0
1991 TO No help 1 No explain Inanim 1 0
1991 Bare Yes help 1 No deal Inanim 1 0
1991 Bare Yes help 1 No police Anim 1 0
1991 Bare Yes help 1 No pay Missing 1 0
1991 Bare Yes help 1 No expand Missing 1 0
1991 Bare Yes help 1 No solidify Missing 1 0
1991 Bare Yes help 1 No reduce Missing 1 0
1991 Bare Yes help 1 No resuscitate Missing 1 0
1991 Bare Yes help 1 No break Missing 1 0
1991 Bare Yes help 1 No maintain Missing 1 0
1991 Bare Yes help 1 No pay Missing 1 0
1991 Bare Yes help 1 No boost Missing 1 0
1990 Bare Yes help 1 No look Anim 0 0
1990 Bare Yes help 1 No compile Anim 0 0
1990 Bare Yes help 1 No celebrate Anim 0 0
1990 Bare Yes help 1 No raise Anim 0 0
1990 Bare Yes help 1 No manage Anim 0 0
1990 Bare No help 1 No smooth Inanim 0 0
1990 Bare No help 1 No reassure Inanim 0 0
1990 Bare No help 1 No account Inanim 0 0
1990 Bare No help 1 No snag Inanim 0 0
1990 Bare No help 1 No foster Inanim 0 0
1990 Bare No help 1 No reveal Inanim 0 0
1990 Bare No help 1 No produce Inanim 0 0
1990 TO No help 1 No set Inanim 0 0
1990 TO No help 1 No make Inanim 0 0
1990 Bare No help 1 No lessen Inanim 0 0
1990 Bare No help 1 No prevent Inanim 0 0
1990 Bare No help 1 No cause Inanim 0 0
1990 Bare No help 1 No redefine Inanim 0 0
1990 Bare No help 1 No guide Inanim 0 0
1990 Bare No help 1 No ensure Inanim 0 0
1990 TO No help 1 No spur Inanim 0 0
1990 TO No help 1 No explain Inanim 0 0
1990 Bare Yes help 1 No achieve Inanim 0 0
1990 Bare Yes help 1 No control Inanim 0 0
1990 Bare Yes help 1 No defray Missing 0 0
1990 Bare Yes help 1 No condition Anim 0 0
1990 Bare No help 1 No induce Missing 0 0
1990 Bare Yes help 1 No finance Missing 0 0
1990 Bare Yes help 1 No loosen Missing 0 0
1990 Bare Yes help 1 No infuse Missing 0 0
1990 Bare Yes help 1 No determine Missing 0 0
1990 Bare Yes help 1 No reduce Missing 0 0
1990 Bare Yes help 1 No reverse Missing 0 0
1990 Bare Yes help 1 No pay Missing 0 0
1990 Bare Yes help 1 No teach Missing 0 0
2001 Bare No helped 11 Yes relieve Inanim 11 2.39789527279837
1991 TO No helped 11 Yes rally Anim 1 2.39789527279837
1993 Bare No helped 7 Yes cope Inanim 3 1.94591014905531
1990 Bare No helped 7 Yes earn Inanim 0 1.94591014905531
2004 Bare No helped 6 Yes improve Anim 14 1.79175946922805
2008 Bare No helped 5 Yes endure Inanim 18 1.6094379124341
1992 Bare No helped 2 Yes confront Inanim 2 0.693147180559945
2003 Bare No helped 4 Yes bring Inanim 13 1.38629436111989
1995 Bare No helped 4 Yes cleanse Inanim 5 1.38629436111989
2012 Bare No helped 3 Yes prosper Inanim 22 1.09861228866811
2008 Bare No helped 2 Yes stay Inanim 18 0.693147180559945
1996 TO No helped 3 Yes see Inanim 6 1.09861228866811
1993 Bare No helped 3 Yes outmaneuver Inanim 3 1.09861228866811
2011 TO No helped 2 Yes see Anim 21 0.693147180559945
2011 Bare No helped 2 Yes live Inanim 21 0.693147180559945
2011 TO No helped 2 Yes move Anim 21 0.693147180559945
2011 Bare No helped 2 Yes enjoy Inanim 21 0.693147180559945
2010 Bare No helped 2 Yes realize Inanim 20 0.693147180559945
2010 Bare No helped 2 Yes guide Inanim 20 0.693147180559945
2009 Bare No helped 2 Yes buy Anim 19 0.693147180559945
2009 Bare No helped 2 Yes recover Anim 19 0.693147180559945
2009 Bare No helped 2 Yes get Inanim 19 0.693147180559945
2009 Bare No helped 2 Yes realize Inanim 19 0.693147180559945
2009 Bare No helped 2 Yes get Anim 19 0.693147180559945
2008 Bare No helped 2 Yes navigate Inanim 18 0.693147180559945
2007 Bare No helped 1 Yes fight Anim 17 0
2007 TO No helped 2 Yes discover Inanim 17 0.693147180559945
2006 TO No helped 2 Yes get Anim 16 0.693147180559945
2005 Bare No helped 2 Yes transform Anim 15 0.693147180559945
2005 Bare No helped 2 Yes become Inanim 15 0.693147180559945
2004 Bare No helped 2 Yes write Anim 14 0.693147180559945
2004 Bare No helped 2 Yes build Inanim 14 0.693147180559945
2004 Bare No helped 2 Yes fall Inanim 14 0.693147180559945
2004 Bare No helped 2 Yes get Anim 14 0.693147180559945
2003 Bare No helped 2 Yes master Inanim 13 0.693147180559945
2003 Bare No helped 2 Yes realize Anim 13 0.693147180559945
2003 TO No helped 2 Yes assess Inanim 13 0.693147180559945
2003 Bare No helped 2 Yes do Inanim 13 0.693147180559945
2003 Bare No helped 2 Yes grow Anim 13 0.693147180559945
2003 TO No helped 2 Yes remain Inanim 13 0.693147180559945
2002 Bare No helped 2 Yes keep Anim 12 0.693147180559945
2002 TO No helped 2 Yes identify Inanim 12 0.693147180559945
2002 Bare No helped 2 Yes move Inanim 12 0.693147180559945
2001 Bare No helped 2 Yes write Anim 11 0.693147180559945
2001 TO No helped 2 Yes deal Inanim 11 0.693147180559945
2001 Bare No helped 2 Yes survive Inanim 11 0.693147180559945
2000 TO No helped 2 Yes achieve Anim 10 0.693147180559945
2000 Bare No helped 2 Yes perfect Anim 10 0.693147180559945
2000 TO No helped 2 Yes deal Inanim 10 0.693147180559945
2000 TO No helped 2 No separate Inanim 10 0.693147180559945
2000 TO No helped 2 Yes become Anim 10 0.693147180559945
1999 TO No helped 2 Yes investigate Inanim 9 0.693147180559945
1998 Bare No helped 2 Yes become Inanim 8 0.693147180559945
1998 Bare No helped 2 Yes develop Anim 8 0.693147180559945
1998 TO No helped 2 Yes stand Anim 8 0.693147180559945
1997 Bare No helped 2 Yes adjust Anim 7 0.693147180559945
1997 TO No helped 2 Yes grow Inanim 7 0.693147180559945
1996 Bare No helped 2 Yes promote Anim 6 0.693147180559945
1996 TO No helped 2 Yes prepare Anim 6 0.693147180559945
1996 Bare No helped 2 Yes achieve Inanim 6 0.693147180559945
1995 TO No helped 2 Yes learn Inanim 5 0.693147180559945
1995 TO No helped 2 Yes work Anim 5 0.693147180559945
1995 Bare No helped 2 Yes understand Inanim 5 0.693147180559945
1994 TO No helped 2 Yes secure Missing 4 0.693147180559945
1994 Bare No helped 2 Yes survive Anim 4 0.693147180559945
1994 TO No helped 2 Yes continue Inanim 4 0.693147180559945
1994 TO No helped 2 Yes gain Inanim 4 0.693147180559945
1994 TO No helped 2 Yes beat Inanim 4 0.693147180559945
1993 Bare No helped 2 Yes sleep Inanim 3 0.693147180559945
1992 Bare No helped 2 Yes spray Anim 2 0.693147180559945
1992 Bare No helped 2 Yes grow Anim 2 0.693147180559945
1992 Bare No helped 2 Yes bring Anim 2 0.693147180559945
1992 Bare No helped 2 Yes overcome Inanim 2 0.693147180559945
1992 TO No helped 2 Yes forgive Inanim 2 0.693147180559945
1992 Bare No helped 2 Yes get Inanim 2 0.693147180559945
1992 TO No helped 2 Yes succeed Inanim 2 0.693147180559945
1991 Bare No helped 2 Yes grow Inanim 1 0.693147180559945
1991 Bare No helped 2 Yes put Anim 1 0.693147180559945
1990 TO No helped 2 Yes become Inanim 0 0.693147180559945
2012 Bare No helped 1 No launch Anim 22 0
2012 Bare No helped 1 No create Anim 22 0
2012 Bare No helped 1 No accelerate Anim 22 0
2012 Bare No helped 1 No install Anim 22 0
2012 Bare No helped 1 No make Anim 22 0
2012 Bare No helped 1 No show Inanim 22 0
2011 Bare No helped 1 No change Anim 21 0
2011 Bare No helped 1 No create Anim 21 0
2011 Bare No helped 1 No study Anim 21 0
2011 Bare No helped 1 No discover Anim 21 0
2011 Bare No helped 1 No establish Inanim 21 0
2011 Bare No helped 1 No compensate Inanim 21 0
2011 Bare No helped 1 No transform Inanim 21 0
2011 TO No helped 1 No launch Inanim 21 0
2011 TO No helped 1 No suppress Inanim 21 0
2011 Bare No helped 1 No strengthen Inanim 21 0
2011 Bare No helped 1 No release Inanim 21 0
2011 Bare No helped 1 Yes usher Anim 21 0
2010 Bare No helped 1 No train Anim 20 0
2010 Bare No helped 1 No set Anim 20 0
2010 Bare No helped 1 No resurrect Anim 20 0
2010 Bare No helped 1 No lead Anim 20 0
2010 Bare No helped 1 No bring Anim 20 0
2010 Bare No helped 1 No subsidize Inanim 20 0
2010 Bare No helped 1 No reform Inanim 20 0
2010 Bare No helped 1 No drive Inanim 20 0
2010 TO No helped 1 No racialize Inanim 20 0
2009 TO No helped 1 No establish Anim 19 0
2009 Bare No helped 1 No put Anim 19 0
2009 Bare No helped 1 No birth Anim 19 0
2009 TO No helped 1 No reduce Inanim 19 0
2009 Bare No helped 1 No distinguish Inanim 19 0
2009 Bare No helped 1 No smooth Inanim 19 0
2009 Bare No helped 1 No produce Inanim 19 0
2009 TO No helped 1 No achieve Inanim 19 0
2008 Bare No helped 1 No educate Anim 18 0
2008 Bare No helped 1 No produce Anim 18 0
2008 Bare No helped 1 No doom Anim 18 0
2008 TO No helped 1 No establish Anim 18 0
2008 TO No helped 1 No write Anim 18 0
2008 TO No helped 1 No plan Anim 18 0
2008 Bare No helped 1 No assemble Anim 18 0
2008 Bare No helped 1 No preserve Anim 18 0
2008 Bare No helped 1 No build Anim 18 0
2008 Bare No helped 1 No develop Anim 18 0
2008 Bare No helped 1 No develop Anim 18 0
2008 Bare No helped 1 No create Anim 18 0
2008 Bare No helped 1 No create Anim 18 0
2008 Bare No helped 1 No fill Inanim 18 0
2008 Bare No helped 1 No make Inanim 18 0
2008 Bare No helped 1 No keep Inanim 18 0
2008 TO No helped 1 No produce Inanim 18 0
2008 Bare No helped 1 No reinvigorate Inanim 18 0
2007 Bare No helped 1 No ensure Anim 17 0
2007 Bare No helped 1 No keep Anim 17 0
2007 Bare No helped 1 No liberate Anim 17 0
2007 Bare No helped 1 No create Anim 17 0
2007 Bare No helped 1 No raise Anim 17 0
2007 TO No helped 1 No make Anim 17 0
2007 Bare No helped 1 No propel Inanim 17 0
2007 Bare No helped 1 No clarify Inanim 17 0
2007 Bare No helped 1 No mold Inanim 17 0
2007 TO No helped 1 No forge Inanim 17 0
2007 Bare No helped 1 No launch Inanim 17 0
2007 Bare No helped 1 No make Inanim 17 0
2006 TO No helped 1 No plug Anim 16 0
2006 Bare No helped 1 No revive Anim 16 0
2006 Bare No helped 1 No bring Anim 16 0
2006 Bare No helped 1 No discover Anim 16 0
2006 Bare No helped 1 No bring Anim 16 0
2006 Bare No helped 1 No create Anim 16 0
2006 Bare No helped 1 No raise Anim 16 0
2006 Bare No helped 1 No run Anim 16 0
2006 TO No helped 1 No design Anim 16 0
2006 Bare No helped 1 No define Inanim 16 0
2006 Bare No helped 1 No launch Inanim 16 0
2006 Bare No helped 1 No lower Inanim 16 0
2006 Bare No helped 1 No win Inanim 16 0
2006 Bare No helped 1 No make Inanim 16 0
2006 TO No helped 1 No foster Inanim 16 0
2006 Bare No helped 1 No make Inanim 16 0
2006 Bare No helped 1 No make Inanim 16 0
2005 Bare No helped 1 No establish Anim 15 0
2005 Bare No helped 1 No postpone Anim 15 0
2005 Bare No helped 1 No create Anim 15 0
2005 Bare No helped 1 No organize Anim 15 0
2005 Bare No helped 1 No bring Anim 15 0
2005 Bare No helped 1 No run Anim 15 0
2005 Bare No helped 1 No validate Inanim 15 0
2005 Bare No helped 1 No unify Inanim 15 0
2005 TO No helped 1 No register Inanim 15 0
2005 Bare No helped 1 No spark Inanim 15 0
2004 Bare No helped 1 No arrest Anim 14 0
2004 TO No helped 1 No build Anim 14 0
2004 Bare No helped 1 No found Anim 14 0
2004 Bare No helped 1 No improve Anim 14 0
2004 Bare No helped 1 No survey Anim 14 0
2004 Bare No helped 1 No set Anim 14 0
2004 Bare No helped 1 No bring Anim 14 0
2004 Bare No helped 1 No take Anim 14 0
2004 TO No helped 1 No found Anim 14 0
2004 Bare No helped 1 No lead Inanim 14 0
2004 Bare No helped 1 No relieve Inanim 14 0
2004 Bare No helped 1 No inspire Inanim 14 0
2004 Bare No helped 1 No develop Inanim 14 0
2004 Bare No helped 1 No give Inanim 14 0
2004 TO No helped 1 No keep Inanim 14 0
2004 Bare No helped 1 No establish Inanim 14 0
2004 Bare No helped 1 No keep Inanim 14 0
2004 Bare No helped 1 No create Inanim 14 0
2004 Bare No helped 1 No build Inanim 14 0
2004 TO No helped 1 No shape Inanim 14 0
2004 TO No helped 1 No engender Inanim 14 0
2004 TO No helped 1 No make Inanim 14 0
2003 Bare No helped 1 No convince Anim 13 0
2003 Bare No helped 1 No restore Anim 13 0
2003 Bare No helped 1 No get Anim 13 0
2003 Bare No helped 1 No invent Anim 13 0
2003 Bare No helped 1 No fund Anim 13 0
2003 Bare No helped 1 No drive Anim 13 0
2003 Bare No helped 1 No change Anim 13 0
2003 TO No helped 1 No organize Anim 13 0
2003 Bare No helped 1 No make Inanim 13 0
2003 Bare No helped 1 No mobilize Inanim 13 0
2003 Bare No helped 1 No bring Inanim 13 0
2003 TO No helped 1 No fill Inanim 13 0
2003 Bare No helped 1 No build Inanim 13 0
2003 Bare No helped 1 No create Inanim 13 0
2003 Bare No helped 1 No transform Inanim 13 0
2003 TO No helped 1 No undermine Inanim 13 0
2002 Bare No helped 1 No author Anim 12 0
2002 Bare No helped 1 No lead Anim 12 0
2002 Bare No helped 1 No build Anim 12 0
2002 Bare No helped 1 No build Anim 12 0
2002 Bare No helped 1 No establish Anim 12 0
2002 Bare No helped 1 No turn Anim 12 0
2002 Bare No helped 1 No grow Anim 12 0
2002 TO No helped 1 No organize Anim 12 0
2002 TO No helped 1 No foster Anim 12 0
2002 Bare No helped 1 No make Inanim 12 0
2002 Bare No helped 1 No boost Inanim 12 0
2002 Bare No helped 1 No lay Inanim 12 0
2002 Bare No helped 1 No illuminate Inanim 12 0
2002 TO No helped 1 No retain Inanim 12 0
2002 TO No helped 1 No change Inanim 12 0
2002 Bare No helped 1 No open Inanim 12 0
2002 TO No helped 1 No build Inanim 12 0
2002 Bare No helped 1 No fuel Missing 12 0
2001 Bare No helped 1 No bury Anim 11 0
2001 Bare No helped 1 No shape Anim 11 0
2001 Bare No helped 1 No break Anim 11 0
2001 Bare No helped 1 No develop Anim 11 0
2001 Bare No helped 1 No launch Anim 11 0
2001 Bare No helped 1 No build Inanim 11 0
2001 Bare No helped 1 No win Inanim 11 0
2001 Bare No helped 1 No secure Inanim 11 0
2001 Bare No helped 1 No prevent Inanim 11 0
2001 Bare No helped 1 No revitalize Inanim 11 0
2001 TO No helped 1 No expand Inanim 11 0
2000 Bare No helped 1 No create Anim 10 0
2000 Bare No helped 1 No persuade Anim 10 0
2000 Bare No helped 1 No establish Anim 10 0
2000 Bare No helped 1 No sustain Anim 10 0
2000 Bare No helped 1 No launch Anim 10 0
2000 Bare No helped 1 No rescue Anim 10 0
2000 Bare No helped 1 No manage Inanim 10 0
2000 Bare No helped 1 No make Inanim 10 0
2000 TO No helped 1 No assimilate Inanim 10 0
2000 TO No helped 1 No ensure Inanim 10 0
1999 Bare No helped 1 No calm Anim 9 0
1999 Bare No helped 1 No build Anim 9 0
1999 Bare No helped 1 No cover Anim 9 0
1999 Bare No helped 1 No purchase Anim 9 0
1999 Bare No helped 1 No steer Anim 9 0
1999 TO No helped 1 No shape Anim 9 0
1999 Bare No helped 1 No ease Inanim 9 0
1999 Bare No helped 1 No save Inanim 9 0
1999 TO No helped 1 No introduce Inanim 9 0
1999 TO No helped 1 No create Inanim 9 0
1999 Bare No helped 1 No produce Inanim 9 0
1999 TO No helped 1 No make Inanim 9 0
1998 Bare No helped 1 No persuade Anim 8 0
1998 Bare No helped 1 No redesign Anim 8 0
1998 Bare No helped 1 No organize Anim 8 0
1998 Bare No helped 1 No build Anim 8 0
1998 Bare No helped 1 No endear Inanim 8 0
1998 Bare No helped 1 No determine Inanim 8 0
1998 Bare No helped 1 No spread Inanim 8 0
1998 Bare No helped 1 No drive Inanim 8 0
1998 Bare No helped 1 No launch Inanim 8 0
1998 TO No helped 1 No point Inanim 8 0
1998 TO No helped 1 No forget Inanim 8 0
1998 TO No helped 1 No keep Inanim 8 0
1998 Bare No helped 1 No reflect Inanim 8 0
1998 Bare No helped 1 No prevent Inanim 8 0
1998 Bare No helped 1 No give Inanim 8 0
1998 Bare No helped 1 No precipitate Inanim 8 0
1998 Bare No helped 1 No push Inanim 8 0
1998 TO No helped 1 No change Inanim 8 0
1998 Bare No helped 1 No give Missing 8 0
1997 Bare No helped 1 No evaluate Anim 7 0
1997 TO No helped 1 No educate Anim 7 0
1997 Bare No helped 1 No investigate Anim 7 0
1997 Bare No helped 1 No sustain Inanim 7 0
1997 Bare No helped 1 No turn Inanim 7 0
1997 TO No helped 1 No curb Inanim 7 0
1997 Bare No helped 1 No transform Inanim 7 0
1997 Bare No helped 1 No heal Inanim 7 0
1997 TO No helped 1 No instill Missing 7 0
1996 Bare No helped 1 No identify Anim 6 0
1996 TO No helped 1 No persuade Anim 6 0
1996 TO No helped 1 No save Anim 6 0
1996 Bare No helped 1 No write Anim 6 0
1996 Bare No helped 1 No create Anim 6 0
1996 TO No helped 1 No recruit Anim 6 0
1996 TO No helped 1 No shape Anim 6 0
1996 TO No helped 1 No host Anim 6 0
1996 TO No helped 1 No invent Anim 6 0
1996 Bare No helped 1 No hold Inanim 6 0
1996 Bare No helped 1 No support Inanim 6 0
1996 Bare No helped 1 No spawn Inanim 6 0
1996 TO No helped 1 No suppress Inanim 6 0
1996 TO No helped 1 No define Inanim 6 0
1996 TO No helped 1 No get Inanim 6 0
1996 Bare No helped 1 No launch Inanim 6 0
1996 Bare No helped 1 No stretch Inanim 6 0
1996 TO No helped 1 No sustain Inanim 6 0
1995 Bare No helped 1 No fund Anim 5 0
1995 Bare No helped 1 No popularize Anim 5 0
1995 Bare No helped 1 No haul Anim 5 0
1995 TO No helped 1 No stage Anim 5 0
1995 TO No helped 1 No introduce Anim 5 0
1995 Bare No helped 1 No retire Anim 5 0
1995 Bare No helped 1 No revive Anim 5 0
1995 Bare No helped 1 No run Anim 5 0
1995 Bare No helped 1 No make Inanim 5 0
1995 Bare No helped 1 No nourish Inanim 5 0
1995 TO No helped 1 No find Inanim 5 0
1995 TO No helped 1 No distinguish Inanim 5 0
1995 Bare No helped 1 No raise Inanim 5 0
1995 Bare No helped 1 No wreck Inanim 5 0
1995 TO No helped 1 No raise Inanim 5 0
